,Cities,Longitude,Latitude,Temperature,Country,Cloudines,Humidity,Wind Speed
0,Cape Town,18.42,-33.93,15.87,ZA,75,93,3.1
1,Pangnirtung,-65.71,66.15,-3.8,CA,100,94,1.07
2,Hobyo,48.53,5.35,29.76,SO,99,63,4.2
3,San Andrés,-81.7,12.58,26.0,CO,75,94,1.55
4,Tromsø,18.96,69.65,2.0,NO,75,88,5.7
5,Vao,167.48,-22.67,23.19,NC,6,86,8.04
6,Hermanus,19.23,-34.42,17.22,ZA,62,94,1.38
7,Mataura,168.86,-46.19,19.44,NZ,47,53,5.36
8,Airai,125.41,-8.93,26.42,TL,8,57,1.33
9,Skjervøy,20.97,70.03,4.94,NO,100,82,7.28
10,Hilo,-155.09,19.73,23.3,US,1,78,1.35
11,East London,27.91,-33.02,20.0,ZA,20,82,3.6
12,Albany,-73.97,42.6,16.23,US,31,85,3.03
13,San Vicente,-54.13,-26.62,18.27,AR,26,88,1.34
14,Marabu,114.01,4.41,30.78,MY,40,66,3.6
15,Qaanaaq,-69.36,77.48,-8.2,GL,95,91,4.0
16,Kapaa,-159.32,22.08,23.74,US,75,74,2.6
17,Cidreira,-50.21,-30.18,19.6,BR,100,92,5.43
18,Luwingu,29.93,-10.26,24.18,ZM,30,41,3.92
19,Ushuaia,-68.3,-54.8,4.0,AR,75,80,1.5
20,Gunnedah,150.25,-30.98,22.0,AU,75,83,8.7
21,Tonj,28.68,7.27,26.65,SS,39,75,0.41
22,Jamestown,-79.24,42.1,15.33,US,90,93,3.6
23,Nome,-165.41,64.5,1.07,US,90,86,5.7
24,Oranjemund,16.43,-28.55,15.67,NA,0,77,2.63
25,Miami Beach,-80.13,25.79,26.64,US,75,74,4.6
26,Pochutla,-96.47,15.74,26.11,MX,45,89,1.27
27,Bredasdorp,20.04,-34.53,19.0,ZA,92,93,0.5
28,Khatanga,102.5,71.97,-9.1,RU,100,97,5.98
29,Beringovskiy,179.32,63.05,0.99,RU,100,90,9.94
30,Saint-Pierre,55.48,-21.34,24.22,RE,0,61,9.3
31,Batagay,134.63,67.63,-6.77,RU,94,91,2.88
32,Atuona,-139.03,-9.8,25.83,PF,1,77,8.37
33,Zhangye,100.45,38.93,16.95,CN,0,25,2.83
34,São Filipe,-24.5,14.9,26.63,CV,81,78,2.5
35,Esperance,121.9,-33.87,18.0,AU,75,59,6.7
36,Rikitea,-134.97,-23.12,23.3,PF,83,84,7.79
37,Longyearbyen,15.64,78.22,-5.0,SJ,75,73,3.1
38,Provideniya,-173.3,64.38,0.32,RU,89,93,5.18
39,Arlit,7.39,18.74,24.86,NE,0,17,5.16
40,Velykyy Burluk,37.4,50.04,13.34,UA,99,64,2.65
41,Tongling,117.78,30.95,18.42,CN,22,41,3.81
42,Cabo San Lucas,-109.91,22.89,26.12,MX,20,75,0.45
43,Keetmanshoop,18.13,-26.58,21.0,NA,0,30,1.5
44,Peniche,-9.38,39.36,11.15,PT,33,91,2.56
45,Okha,142.95,53.57,6.03,RU,100,89,16.37
46,Punta Arenas,-70.92,-53.15,6.83,CL,90,75,3.1
47,Avarua,-159.78,-21.21,24.0,CK,57,73,4.1
48,Faanui,-151.75,-16.48,26.44,PF,99,67,1.93
49,Deputatsky,139.9,69.3,-8.99,RU,100,93,2.79
50,Hong Kong,114.16,22.29,23.97,HK,100,47,0.89
51,San Patricio,-97.52,28.02,17.6,US,90,72,10.3
52,Esim,-2.24,4.87,24.68,GH,42,90,2.13
53,Busselton,115.33,-33.65,25.56,AU,0,23,1.11
54,Ribeira Grande,-28.7,38.52,19.55,PT,48,82,8.9
55,Panguna,155.48,-6.32,23.5,PG,99,94,0.68
56,Sinnamary,-52.95,5.38,26.27,GF,26,86,3.94
57,Idlib,36.63,35.93,15.0,SY,0,58,1.0
58,Kaitangata,169.85,-46.28,17.78,NZ,2,60,0.45
59,Puerto Ayora,-90.35,-0.74,20.56,EC,44,93,1.79
60,Tura,90.22,25.52,21.94,IN,100,98,1.01
61,Bengkulu,102.27,-3.8,29.77,ID,100,64,1.66
62,Alakurtti,30.35,66.97,-3.89,RU,99,94,0.26
63,Souillac,57.52,-20.52,26.0,MU,40,57,5.7
64,Saint-Philippe,55.77,-21.36,23.82,RE,0,61,9.3
65,Netanya,34.86,32.33,23.69,IL,40,88,1.0
66,Piltene,21.67,57.22,4.0,LV,20,100,2.5
67,Robinsonville,-97.11,31.47,11.54,US,90,66,5.7
68,Codrington,141.97,-38.27,11.21,AU,67,69,8.38
69,Talnakh,88.4,69.49,-16.0,RU,40,84,4.0
70,Sangar,127.47,63.92,-6.97,RU,100,95,4.04
71,Korla,86.15,41.76,17.03,CN,67,26,0.71
72,Pallisa,33.71,1.15,22.62,UG,7,80,1.67
73,Bainbridge Island,-122.52,47.63,7.04,US,100,90,0.89
74,Vaini,-175.2,-21.2,23.0,TO,75,83,4.1
75,Clyde River,-68.59,70.47,-6.0,CA,90,85,1.5
76,Pingxiang,113.85,27.62,21.28,CN,49,42,2.86
77,Lebu,-73.65,-37.62,10.21,CL,100,80,2.73
78,Butaritari,172.79,3.07,27.97,KI,4,71,4.32
79,Nishihara,127.76,26.18,24.64,JP,75,44,5.7
80,Raja,25.68,8.46,24.08,SS,24,81,1.81
81,Kattivākkam,80.32,13.22,30.0,IN,75,70,4.6
82,Tuktoyaktuk,-133.04,69.45,-5.0,CA,90,100,4.1
83,Pangoa,-73.0,-12.12,21.66,PE,55,79,0.79
84,Saint Paul Harbor,-152.41,57.79,9.0,US,90,93,4.6
85,Kilindoni,39.67,-7.91,27.14,TZ,55,72,2.19
86,Azul,-59.86,-36.78,14.4,AR,34,98,3.51
87,Grindavik,-22.43,63.84,5.0,IS,0,80,5.7
88,Arraial do Cabo,-42.03,-22.97,22.29,BR,49,81,9.35
89,Kenmare,-9.58,51.88,9.28,IE,100,83,4.87
90,Port Elizabeth,25.57,-33.92,20.0,ZA,90,100,5.7
91,Manicoré,-61.3,-5.81,23.58,BR,97,96,1.02
92,Los Llanos de Aridane,-17.92,28.66,17.34,ES,75,68,4.1
93,Beloha,45.05,-25.17,29.18,MG,99,41,4.33
94,Paita,-81.11,-5.09,17.09,PE,90,83,3.72
95,Vrangel',133.08,42.73,9.06,RU,81,50,10.35
96,Nikolskoye,30.79,59.7,-1.32,RU,0,92,2.0
97,Bubaque,-15.83,11.28,28.43,GW,65,79,5.55
98,Aklavik,-135.01,68.22,-4.0,CA,5,79,4.1
99,Isangel,169.27,-19.55,28.0,VU,75,69,2.6
100,Kamina,24.99,-8.74,22.7,CD,25,77,1.41
101,Coquimbo,-71.34,-29.95,12.0,CL,13,87,1.0
102,Kumul,93.45,42.8,17.32,CN,30,24,2.88
103,Saint-Louis,-15.0,16.33,29.79,SN,15,17,4.11
104,Bluff,168.33,-46.6,19.44,NZ,99,53,5.36
105,Pacific Grove,-121.92,36.62,13.92,US,1,87,2.1
106,Barrow,-156.79,71.29,-2.0,US,90,86,4.1
107,Iqaluit,-68.51,63.75,-3.17,CA,90,79,1.0
108,Erzin,36.2,36.96,16.12,TR,0,58,1.0
109,Vega de Alatorre,-96.63,20.03,24.32,MX,72,80,2.24
110,Fortuna,-124.16,40.6,10.82,US,75,81,2.1
111,Aleksandrov Gay,48.57,50.15,12.73,RU,100,88,5.2
112,Port Hardy,-127.42,50.7,6.0,CA,75,93,1.5
113,Broken Hill,141.43,-31.95,18.0,AU,93,55,11.8
114,Sakakah,40.21,29.97,20.0,SA,0,18,1.18
115,Port Alfred,26.89,-33.59,21.55,ZA,89,80,6.54
116,Liuzhou,109.39,24.31,24.63,CN,88,45,4.53
117,Igboho,3.75,8.83,20.9,NG,61,98,1.74
